Causas (lista reducida);Sexo;Provincia de residencia;Total
001-102 I-XXII.Todas las causas;Ambos sexos;Total;493.776
001-102 I-XXII.Todas las causas;Ambos sexos;Albacete;4.868
001-102 I-XXII.Todas las causas;Ambos sexos;Alicante/Alacant;17.555
001-102 I-XXII.Todas las causas;Ambos sexos;Almería;5.698
001-102 I-XXII.Todas las causas;Ambos sexos;Araba/Álava;3.267
001-102 I-XXII.Todas las causas;Ambos sexos;Asturias;14.550
001-102 I-XXII.Todas las causas;Ambos sexos;Ávila;2.537
001-102 I-XXII.Todas las causas;Ambos sexos;Badajoz;7.470
001-102 I-XXII.Todas las causas;Ambos sexos;Balears, Illes;8.559
001-102 I-XXII.Todas las causas;Ambos sexos;Barcelona;59.652
001-102 I-XXII.Todas las causas;Ambos sexos;Bizkaia;13.245
001-102 I-XXII.Todas las causas;Ambos sexos;Burgos;4.777
001-102 I-XXII.Todas las causas;Ambos sexos;Cáceres;5.629
001-102 I-XXII.Todas las causas;Ambos sexos;Cádiz;11.224
001-102 I-XXII.Todas las causas;Ambos sexos;Cantabria;6.467
001-102 I-XXII.Todas las causas;Ambos sexos;Castellón/Castelló;5.685
001-102 I-XXII.Todas las causas;Ambos sexos;Ciudad Real;6.927
001-102 I-XXII.Todas las causas;Ambos sexos;Córdoba;8.299
001-102 I-XXII.Todas las causas;Ambos sexos;Coruña, A;12.873
001-102 I-XXII.Todas las causas;Ambos sexos;Cuenca;3.177
001-102 I-XXII.Todas las causas;Ambos sexos;Gipuzkoa;7.740
001-102 I-XXII.Todas las causas;Ambos sexos;Girona;7.210
001-102 I-XXII.Todas las causas;Ambos sexos;Granada;9.599
001-102 I-XXII.Todas las causas;Ambos sexos;Guadalajara;2.797
001-102 I-XXII.Todas las causas;Ambos sexos;Huelva;4.696
001-102 I-XXII.Todas las causas;Ambos sexos;Huesca;2.888
001-102 I-XXII.Todas las causas;Ambos sexos;Jaén;7.356
001-102 I-XXII.Todas las causas;Ambos sexos;León;7.637
